feature,importance
tqwt_meanValue_dec_24,0.061882690554280605
tqwt_entropy_shannon_dec_4,0.061646523190587305
tqwt_meanValue_dec_18,0.06127565958840683
tqwt_maxValue_dec_13,0.06062667881194339
tqwt_TKEO_std_dec_23,0.05990876419412908
tqwt_stdValue_dec_31,0.05981197966044693
tqwt_stdValue_dec_36,0.0597804256621744
tqwt_entropy_log_dec_27,0.05896697086520823
app_LT_entropy_log_3_coef,0.05896040816640796
tqwt_entropy_shannon_dec_29,0.058889087110740986
tqwt_minValue_dec_35,0.05872649418692575
std_10th_delta_delta,0.058725924595429566
tqwt_entropy_shannon_dec_14,0.058334978081033655
tqwt_meanValue_dec_19,0.05809857272449457
det_TKEO_mean_7_coef,0.05805317896121775
std_8th_delta,0.05797942940699262
tqwt_entropy_log_dec_19,0.05796848684490371
tqwt_energy_dec_22,0.057968157363888904
tqwt_meanValue_dec_28,0.057100947941502986
tqwt_entropy_shannon_dec_6,0.0562880735102825
tqwt_stdValue_dec_5,0.0562612215341658
VFER_entropy,0.05615037198203462
app_LT_TKEO_std_5_coef,0.05566617462572023
tqwt_TKEO_mean_dec_14,0.05564973489169529
det_entropy_log_8_coef,0.055425374391173454
tqwt_medianValue_dec_6,0.055268558483617405
tqwt_kurtosisValue_dec_15,0.055220249108640304
tqwt_minValue_dec_32,0.05500272741507999
tqwt_minValue_dec_20,0.05492521061162556
mean_8th_delta_delta,0.05491139748020995
tqwt_TKEO_mean_dec_9,0.05442382189804472
app_entropy_shannon_5_coef,0.05434371702840274
tqwt_kurtosisValue_dec_22,0.054303569172393325
tqwt_maxValue_dec_2,0.05381411347466827
app_det_TKEO_mean_9_coef,0.053577744990691116
det_entropy_shannon_4_coef,0.053554360699868415
tqwt_meanValue_dec_32,0.053339284484566575
std_4th_delta,0.05327186716649273
tqwt_TKEO_std_dec_13,0.05297143680620046
tqwt_entropy_log_dec_29,0.052950535271448794
tqwt_maxValue_dec_9,0.052715744111023685
mean_3rd_delta,0.05262480026202465
tqwt_stdValue_dec_15,0.05247316745031705
tqwt_medianValue_dec_34,0.052373118679985765
tqwt_skewnessValue_dec_6,0.05227359979601017
tqwt_entropy_shannon_dec_27,0.05208191862535796
tqwt_meanValue_dec_17,0.05208112078491454
app_TKEO_std_7_coef,0.051987337324566806
tqwt_TKEO_mean_dec_15,0.05113069549399115
tqwt_TKEO_mean_dec_6,0.050692791434726964
tqwt_medianValue_dec_19,0.05063452530521109
std_MFCC_1st_coef,0.0503407888475569
app_entropy_log_3_coef,0.04961989876689549
tqwt_maxValue_dec_10,0.049115095080453385
std_1st_delta_delta,0.04884841165457453
tqwt_energy_dec_17,0.047401679183014335
tqwt_entropy_shannon_dec_35,0.046811118277660456
tqwt_TKEO_mean_dec_21,0.046661038722109416
app_entropy_log_1_coef,0.04364421264972895
tqwt_stdValue_dec_21,0.04351460415868731
tqwt_TKEO_std_dec_7,0.04350297375428082
tqwt_entropy_shannon_dec_36,0.043317229500094284
tqwt_stdValue_dec_29,0.04302443314023529
locDbShimmer,0.04243680582738437
tqwt_medianValue_dec_29,0.042416117375720874
tqwt_entropy_shannon_dec_24,0.04227646906807259
tqwt_TKEO_mean_dec_29,0.04222052192444924
det_entropy_shannon_6_coef,0.04210486638209915
Ed_1_coef,0.04202161837259826
tqwt_entropy_log_dec_31,0.041757851657798294
tqwt_stdValue_dec_30,0.040914522744098805
tqwt_medianValue_dec_25,0.04088608978120213
GNE_SNR_SEO,0.04059955108612439
det_LT_entropy_shannon_1_coef,0.039809345844916695
RPDE,0.03980524980404628
std_MFCC_10th_coef,0.03959973077963122
app_LT_TKEO_mean_7_coef,0.039274245456524456
tqwt_maxValue_dec_5,0.03906548425505472
app_TKEO_std_5_coef,0.03859602209267814
app_LT_TKEO_std_6_coef,0.03847977390213444
tqwt_kurtosisValue_dec_6,0.03733244080942068
tqwt_stdValue_dec_2,0.03702593247626453
tqwt_skewnessValue_dec_23,0.03634793121150623
tqwt_medianValue_dec_26,0.03618269759131659
std_MFCC_11th_coef,0.035652153176766586
tqwt_TKEO_std_dec_35,0.03549955928188777
Ed_9_coef,0.03538026912483904
det_LT_TKEO_mean_7_coef,0.035338086519890594
tqwt_meanValue_dec_2,0.03476407492218486
app_LT_TKEO_std_2_coef,0.03468288084680477
det_LT_TKEO_mean_4_coef,0.03466246576727527
tqwt_TKEO_mean_dec_23,0.034226611094414085
Ed_6_coef,0.03337241049775902
GNE_mean,0.03314673792740151
tqwt_maxValue_dec_21,0.03301707874035083
det_LT_entropy_log_1_coef,0.032707160238897644
tqwt_skewnessValue_dec_17,0.032379482230165145
IMF_SNR_entropy,0.0323641340262819
tqwt_meanValue_dec_7,0.032270958653452454
Ed2_8_coef,0.031986385993893286
Ed_2_coef,0.03148349028145482
std_12th_delta_delta,0.030748407063539252
tqwt_TKEO_std_dec_32,0.030643783076922046
tqwt_maxValue_dec_7,0.030635234134713484
tqwt_skewnessValue_dec_12,0.030372091848326833
tqwt_meanValue_dec_21,0.0303304861037672
tqwt_entropy_shannon_dec_12,0.030222010262434054
tqwt_TKEO_std_dec_29,0.030145478822336393
tqwt_energy_dec_4,0.030090682220837446
mean_4th_delta,0.030029454502104033
tqwt_TKEO_std_dec_27,0.029862138595803035
det_LT_entropy_shannon_6_coef,0.02985713880546561
tqwt_energy_dec_10,0.029306127209527574
tqwt_stdValue_dec_14,0.0290479278567278
mean_11th_delta_delta,0.028904728975285208
mean_10th_delta,0.028563283849427603
tqwt_medianValue_dec_31,0.028521914991495964
tqwt_energy_dec_31,0.02833803842481975
tqwt_entropy_log_dec_34,0.02812932877573657
tqwt_entropy_log_dec_17,0.028118078089106574
std_MFCC_6th_coef,0.02796406323127621
tqwt_stdValue_dec_26,0.027776394145141138
Ed2_1_coef,0.027748675728423166
tqwt_minValue_dec_14,0.0271225122491186
det_entropy_shannon_9_coef,0.026852488276772835
app_entropy_shannon_10_coef,0.026845459094244538
tqwt_minValue_dec_29,0.026614831896858444
Ed2_10_coef,0.026528446974854472
tqwt_TKEO_std_dec_18,0.026428574850935273
det_entropy_shannon_10_coef,0.02597481674341001
tqwt_minValue_dec_16,0.025930481205468328
tqwt_TKEO_mean_dec_8,0.025922480077985092
tqwt_maxValue_dec_1,0.02591050779491418
tqwt_maxValue_dec_16,0.02586234988387277
